index,profit,number of trade,Average Gain,SD,Maximum Gain in One Trade,Maximum Loss in One Trade
"(56, 236)",9290.589846,9,1032.287761,1003.574943,2233.111328,-1383.179687
"(55, 226)",8236.472656,8,1029.559082,861.5478609,2053.380859,-954.289063
"(55, 229)",9232.121096,9,1025.791233,758.3748985,2127.320313,-669.488281
"(55, 230)",9174.519534,9,1019.391059,758.4258223,2127.320313,-669.488281
"(57, 216)",8141.69922,8,1017.712402,833.0315359,1938.380859,-954.289063
"(55, 224)",8121.472656,8,1015.184082,845.1486999,1938.380859,-954.289063
"(55, 225)",8121.472656,8,1015.184082,845.1486999,1938.380859,-954.289063
"(56, 220)",8121.472656,8,1015.184082,845.1486999,1938.380859,-954.289063
"(56, 221)",8121.472656,8,1015.184082,845.1486999,1938.380859,-954.289063
"(56, 222)",8121.472656,8,1015.184082,845.1486999,1938.380859,-954.289063
"(56, 223)",8121.472656,8,1015.184082,845.1486999,1938.380859,-954.289063
"(55, 236)",9125.191409,9,1013.910157,883.7434372,2127.320313,-1081.138671
"(53, 235)",9109.470704,9,1012.163412,826.5138616,2127.320313,-954.289063
"(53, 236)",9096.890626,9,1010.765625,825.8635748,2127.320313,-954.289063
"(56, 233)",9082.42969,9,1009.158854,929.7931079,2127.320313,-1264.439453
"(56, 234)",9082.42969,9,1009.158854,929.7931079,2127.320313,-1264.439453
"(56, 235)",9082.42969,9,1009.158854,929.7931079,2127.320313,-1264.439453
"(52, 242)",9071.238283,9,1007.915365,847.817839,2127.320313,-954.289063
"(57, 228)",8051.728518,8,1006.466065,1050.214204,2127.320313,-1490.189453
"(55, 241)",9042.080079,9,1004.675564,1006.354023,2233.111328,-1383.179687
"(55, 242)",9042.080079,9,1004.675564,1006.354023,2233.111328,-1383.179687
"(52, 237)",9008.240236,9,1000.915582,824.8018026,2127.320313,-954.289063
"(52, 238)",9008.240236,9,1000.915582,824.8018026,2127.320313,-954.289063
"(52, 239)",9008.240236,9,1000.915582,824.8018026,2127.320313,-954.289063
